slots,threads,var,value
2048,4,efficiency,0.14897629448670016
2048,5,ipc,0.42
2048,5,cachemiss,0.045
2048,5,normtime,24584.53014359298
2048,5,efficiency,0.11145251250116753
2048,6,ipc,0.37
2048,6,cachemiss,0.04
2048,6,normtime,22213.567704405443
2048,6,efficiency,0.08391991216327255
2048,7,ipc,0.19
2048,7,cachemiss,49.514
2048,7,normtime,10434.117469148969
2048,7,efficiency,0.03378746718469692
2048,8,ipc,0.17
2048,8,cachemiss,48.654
2048,8,normtime,9562.556018928632
2048,8,efficiency,0.02709455112671003
2048,9,ipc,0.16
2048,9,cachemiss,48.974
2048,9,normtime,8754.97310152074
2048,9,efficiency,0.022050084688428916
2048,10,ipc,0.14
2048,10,cachemiss,48.53
2048,10,normtime,8074.767553148924
2048,10,efficiency,0.018303240419990107
2048,11,ipc,0.13
2048,11,cachemiss,48.536
2048,11,normtime,7440.937431969285
2048,11,efficiency,0.015333204316127646
2048,12,ipc,0.16
2048,12,cachemiss,48.362
2048,12,normtime,6196.330377032242
2048,12,efficiency,0.01170445711140846
4096,1,ipc,1.6
4096,1,cachemiss,5.522
4096,1,normtime,39035.126763286295
4096,1,efficiency,1.0
4096,2,ipc,1.04
4096,2,cachemiss,0.053
4096,2,normtime,47655.14410812031
4096,2,efficiency,0.6104135948770814
4096,3,ipc,0.77
4096,3,cachemiss,0.041
4096,3,normtime,47975.77710510179
4096,3,efficiency,0.409680383483255
4096,4,ipc,0.62
4096,4,cachemiss,0.026
4096,4,normtime,46202.735777236216
4096,4,efficiency,0.29590486574704344
4096,5,ipc,0.52
4096,5,cachemiss,0.035
4096,5,normtime,41177.74627519337
4096,5,efficiency,0.21097790472104871
4096,6,ipc,0.44
4096,6,cachemiss,0.029
4096,6,normtime,37712.94972462365
4096,6,efficiency,0.16102142203576245
4096,7,ipc,0.22
4096,7,cachemiss,46.435
4096,7,normtime,17971.72892595402
4096,7,efficiency,0.06577126960887872
4096,8,ipc,0.19
4096,8,cachemiss,46.246
4096,8,normtime,16318.79785153305
4096,8,efficiency,0.0522567723120646
4096,9,ipc,0.16
4096,9,cachemiss,46.21
4096,9,normtime,14933.78606816962
4096,9,efficiency,0.04250811258260312
4096,10,ipc,0.15
4096,10,cachemiss,45.901
4096,10,normtime,13645.768392252037
4096,10,efficiency,0.034957663836988714
4096,11,ipc,0.14
4096,11,cachemiss,45.128
4096,11,normtime,12429.71498402566
4096,11,efficiency,0.02894762187680796
4096,12,ipc,0.15
4096,12,cachemiss,46.163
4096,12,normtime,10505.45307522273
4096,12,efficiency,0.02242734930115863
8192,1,ipc,1.67
8192,1,cachemiss,4.835
8192,1,normtime,57496.11857333573
8192,1,efficiency,1.0
8192,2,ipc,1.24
8192,2,cachemiss,0.045
8192,2,normtime,69022.81970924373
8192,2,efficiency,0.6002389502276211
8192,3,ipc,0.96
8192,3,cachemiss,0.028
8192,3,normtime,73536.81223017725
8192,3,efficiency,0.4263291392814153
8192,4,ipc,0.81
8192,4,cachemiss,0.027
8192,4,normtime,79488.21466413372
8192,4,efficiency,0.34562426402204566
8192,5,ipc,0.65
8192,5,cachemiss,0.026
8192,5,normtime,71549.77833019238
8192,5,efficiency,0.24888559473429966
8192,6,ipc,0.55
8192,6,cachemiss,0.027
8192,6,normtime,64129.45632985211
8192,6,efficiency,0.18589503060122695
8192,7,ipc,0.24
8192,7,cachemiss,44.544
8192,7,normtime,28688.1173285726
8192,7,efficiency,0.07127963725556583
8192,8,ipc,0.21
8192,8,cachemiss,42.901
8192,8,normtime,25394.630527949874
8192,8,efficiency,0.05520944534620906
8192,9,ipc,0.18
8192,9,cachemiss,43.374
8192,9,normtime,22826.47640323033
8192,9,efficiency,0.044112110849352154
8192,10,ipc,0.17
8192,10,cachemiss,42.779
8192,10,normtime,20812.072432841025
8192,10,efficiency,0.03619735201132827
8192,11,ipc,0.15
8192,11,cachemiss,42.891
8192,11,normtime,18828.43397653795
8192,11,efficiency,0.02977028464740066
8192,12,ipc,0.17
8192,12,cachemiss,43.27
8192,12,normtime,15613.655405687461
8192,12,efficiency,0.022630013690652293
16384,1,ipc,1.66
16384,1,cachemiss,4.766
16384,1,normtime,59780.30926079086
16384,1,efficiency,1.0
16384,2,ipc,1.4
16384,2,cachemiss,0.07
16384,2,normtime,91316.3985073269
16384,2,efficiency,0.7637665281134649
16384,3,ipc,1.16
16384,3,cachemiss,0.021
16384,3,normtime,101551.37892039442
16384,3,efficiency,0.5662476500825592
16384,4,ipc,0.99
